name,id
Morioka City Mens Memorial Cup (Men),9106
Australia Mens Curling Championships (Men),9078
Korean National Curling Championship (Men),9206
Wakkanai Midori Challenge Cup (Men),9064
Hokkaido Bank Curling Classic (Men),9067
USA Curling Pan Contintental Qualifier (Men),9136
Baden Masters (Men),9205
Euro Super Series (Men),9073
ADVICS Cup (Men),9068
Trentino World Cup (Men),9175
U25 NextGen Classic (Men),9053
Oslo Cup (Men),9156
Icebreaker Challenge (Men),8981
ARGO GRAPHICS Cup (Men),9070
Stu Sells Oakville Tankard (Men),8965
Saville Shootout (Men),8934
Rice Lake Competitor Spiel (Men),9135
AMJ Campbell Shorty Jenkins Classic (Men),8966
ATB Okotoks Classic (Men),8977
Tournoi Equinoxe Open (Men),9183
WCT Belgium Men's Challenger (Men),9144
United States Olympic Curling Team Pre-Trials (Men),8985
Japanese Olympic Team Trials (Men),9269
Hogged Rock KW Fall Classic presented by Runback Brewing (Men),9056
Mother Club Fall Curling Classic (Men),9094
Prague Open (Men),9146
AMJ Masters (Men),8953
AMJ Masters Tier 2 (Men),9234
Saville U25 Challenge (Men),9058
MCT Challenge (Men),9096
Tallinn Mens International Challenger (Men),9154
Invitation Valleyfield (Men),9044
Capital Curling Fall Mens (Men),9075
Stu Sells Toronto Tankard (Men),9016
PointsBet Invitational (Men),8949
MCT Border Cup (Men),9098
Curling Stadium SaskTour Tier 2 Grand Slam Qualifier (Men),9185
Prestige Hotels & Resorts Curling Classic (Men),8993
SWISSCURLING Prometteurs Cup (Men),9281
Match Town Trophy (Men),9158
McKee Homes Fall Curling Classic (Men),9046
Saville Grand Prix (Men),8935
Dale's St. Paul Cashspiel (Men),9019
Capital Curling Classic (Men),9076
Regina Highland Rocktoberfest (Men),9186
Minebea Mitsumi Cup (Men),9301
Steele Cup Cash (Men),9244
Pre-Olympic Qualification Event (Men),9208
Co-op Tour Challenge (Men),8955
King Cash Spiel (Men),9027
Grand Slam Tour Challenge U25 (Men),9239
TBayTel Major League of Curling (Men),9300
Finnish Curling Championships Division 1 (Men),9402
Finnish Curling Championships Division 1 (Men),9402
Finnish Curling Championships (Men),9401
Finnish Curling Championships (Men),9401
MCT Curling Cup (Men),9100
Stroud Sleeman Cash Spiel (Men),9118
Henderson Metal Fall Classic presented by Kioti Tractors of Ontario (Men),8927
Canadian Olympic Pre-Trials (Men),8920
U.S. Steel Pan-Continental Championships (Men),9002
S3 Group Curling Stadium Series (Men),9000
Dave Jones Stanhope Simpson Insurance Mayflower Cashspiel (Men),9116
Kamloops Crown of Curling (Men),9030
U.S. Steel Pan-Continental Championships -- B-Division (Men),9004
Grand Prix Bern Inter Curling Challenge (Men),9184
Sundbyberg Open (Men),9161
Red Deer Rocks U25 Men (Men),9307
Swiss Cup Basel (Men),9083
Challenge Nord-Ouest Air Creebec/Eldorado Gold Quebec (Men),9280
Italian National Qualifier (Men),9621
Nishinihon Playdown (Men),9627
Soo Curlers Major League presented by CINTAS (Men),9313
MCT Atkins Curling Supplies Classic (Men),9102
Swedish Junior B Qualifier (Men),9428
Nufloors Penticton Curling Classic (Men),9006
KIOTI GSOC Tahoe (Men),8958
Original 16 Mens Cash Spiel (Men),9179
Nishinihon Playdown (Men),9627
Broken Broom Tobacco Belt Cash Spiel presented by Runback Brewing (Men),9172
Original 16 Broomstacker (Men),9192
Prague Classic (Men),9145
Bunge Berth Bonspiel (Men),9329
Red Deer Curling Classic (Men),8987
United States Olympic Curling Team Trials (Men),8951
Stu Sells 1824 Halifax Classic (Men),8991
Swedish Eliteserien (Men),9420
Finale du Circuit (Men),9344
Nutana SaskTour Men's Spiel (Men),9191
COMCO Cash Spiel (Men),9210
Danish Open (Men),9163
Chairman's Cup (Men),9322
Canadian Olympic Curling Trials (Men),8921
Major Welding Abbotsford Cashspiel (Men),9032
Crestwood Anniversary Showdown (Men),8990
Scottish Curling Junior Championships (Men),9330
Jim Sullivan Curling Classic (Men),9247
Le Gruyere AOP European Curling Championships (Men),8924
Le Gruyere AOP European B Curling Championships (Men),8926
Stu Sells Living Waters Collingwood Classic (Men),9217
MCT Showdown (Men),9104
Mile Zero Cash Spiel (Men),9031
Canadian Olympic Curling Trials (Men),8921
