,id,event,draw,teamA,teamB,lsfe,endsScheduled,scorelineA,scorelineB,scoreA,scoreB,winner
0,366591,9106,1,192956,193603,193603,8,022102000000,100010210000,7,5,192956
1,366592,9106,1,193602,193600,193600,8,000021000000,111300000000,3,6,193600
2,366593,9106,2,191882,192960,191882,8,040020300000,002102000000,9,5,191882
3,366594,9106,2,193604,193601,193604,8,001030200000,000101000000,6,2,193604
4,366595,9106,3,193603,193600,193603,8,301110200000,010002000000,8,3,193603
5,366596,9106,3,192956,193602,192956,8,120102000000,001040100000,6,6,
6,366597,9106,4,192960,193601,192960,8,101010000000,040102300000,3,10,193601
7,366598,9106,4,191882,193604,191882,8,101202300000,000010000000,9,1,191882
8,366599,9106,5,193602,193603,193602,8,300000310000,022101000000,7,6,193602
9,366600,9106,5,193604,192960,192960,8,001001000000,020310100000,2,7,192960
10,366601,9106,6,193601,191882,193601,8,102010000000,000201000000,4,3,193601
11,366602,9106,6,193600,192956,193600,8,301000100000,010111000000,5,4,193600
12,366603,9106,7,193600,193601,193601,8,010220200000,502003020000,7,12,193601
13,366604,9106,7,191882,192956,192956,8,101101000000,010030200000,4,6,192956
14,366605,9106,8,193601,192956,193601,8,000202130000,021020000000,8,5,193601
15,366606,9106,8,193600,191882,191882,8,020220100000,101001000000,7,3,193600
16,366480,9078,1,191789,191786,191786,8,022102000000,500030400000,7,12,191786
17,366481,9078,1,191788,191790,191790,8,000010000000,433104000000,1,15,191790
18,366482,9078,1,191787,191785,191785,8,020010000000,303203000000,3,11,191785
19,366483,9078,2,191790,191787,191790,8,102210200000,010001000000,8,2,191790
20,366484,9078,2,191788,191789,191788,8,002203110000,220020000000,9,6,191788
