id,name,location,lead,second,third,fourth,alternate,coach
191992,Abe,"Sapporo, JPN",Haruto Ouchi,Hayato Sato,Shinya Abe,Tetsuro Shimizu,,
100498,Abe,"Sapporo, JPN",Yuta Kimura,Ayato Sasaki,Yuto Abe,Yuki Abe,Hironori Hayashi,
100006,Ackerman,"Saskatoon, SK",Cole Macknak,Sam Wills,Matthew Drewitz,Jason Ackerman,,
100090,Acosta,PUR,Jonathan Vargas,Emmanuel Pappaterra,Kyle Fisher,Israel Acosta,Jose Sepulveda,Pierre Marziali
192079,Adams Jr.,"Thunder Bay, NO",Joel Adams,Mark Koivula,Colin Koivula,Brian Adams Jr.,,
100354,Aikia,FIN,Sampsa Peltola,Aleksi Hagner,Kari Haajanen,Mika Aikia,Tuomas Salonen,
100454,Alaqel,"Riyadh, KSA",Munir Albeelbisi,Mohammed Aldaraan,Hussain Hagawi,Suleiman Alaqel,Abdullah Alzahrani,Alastair Fyfe
100109,Allan,"Stroud, ON",Franky Badowich,Brett Spier,Dan Balachorek,Wyllie Allan,,
100114,Allen,"Tahoe, NV",Jared Allen,Jason Smith,John Morris,Wayne Middaugh,,
100342,Anderson,Charleswood CC,Justin Reischek,Logan Schirrmeister,Paul Scinocca,Corey Anderson,,
100353,Anderson,Gimli CC,Chris Sigurdson,Justin Hoplock,Wade Ford,Derrick Anderson,,
100048,Anderson,"Brandon, MB",Austin West,Dale Guild,Tyler Grumpelt,Justin Anderson,Jim Anderson,
100056,Anderson,"New Liskeard, NO",Tyler Smith,Graehem Sayer,Ryan Sayer,Mike Anderson,,
100009,Anderson,"Fossum, MN",Alex Iverson,Seth Morken,Jared Swanberg,Zach Anderson,,
100234,Angrick,GER,Raphael Amberger,Adrian Enders,Lukas Jaeger,Leonhard Angrick,Antonio Wiethe,Daniel Charette
100038,Arc,JPN,Haruto Saito,Takumi Ozawa,Tatsuki Yamamori,Shun Ichitsubo,,
100495,Arima,JPN,Manabu Yamaguchi,Yuuta Onodera,Yuuki Hisamoto,Toshikazu Arima,Akira Kageyama,
191785,Armstrong,AUS,Derek Smith,Thomas Bence,Sam Williams,Dustin Armstrong,,
192693,Aronson,"Tempe, AZ",,Joel Calhoun,Skyler Slusar,Sean Aronson,,
100500,Asanuma,"Iwate, JPN",Yusuke Nakasato,Kenji Tomabechi,Ryoma Omori,Yuki Asanuma,,
100278,Assad,"Sudbury, NO",Matt Gordon,Chris Gordon,Zach Warkentin,Mike Assad,,
100028,Atherton,"Halifax, NS",Jed Freeman,Tyler McMullen,Alan Fawcett,Zach Atherton,,
100028,Aube,"Fredericton, NB",,Lorne House,Roger Poirier,Rod Aube,,
100106,Aumont,"Val d'Or, QC",Denis Thibault,Eric Houle,Rene Roy,Alain Aumont,,
100398,Bachek,"Okotoks, AB",Max Ingram,Walker Landry,Andrew Southworth,Kesler Bachek,,Don Bachek
100106,Backman,Royal Montreal CC,Gabrielle Simard,Shawn Aumond,Andrew Bell,Nicholas Backman,,
100353,Bailey,High Park,Rob Brockbank,Ken McDermot,Mike McCutcheon,Scott Bailey,,
191836,Ballance,"Okotoks/Edmonton, AB",Oliver Burton,Michael Keenan,Kolby MacDonald,James Ballance,,
100099,Balsted,"Sault Ste. Marie, NO",Carter McClelland,Noah Mercier,Jonah Santa Maria,Dan Balsted,Jon Pickering,
100280,Barr,"Brandon, MB",Rob Van Kommer,Seth White,Lucas Pedersen,Ed Barr,,
100099,Barrette,"Sault Ste. Marie, NO",Shawn Yanni,Jonathan Barrette,Dan Miki,Marc Barrette,Kevin Morin,
100335,Bartling,"Hay River, NT",Eric Preston,Norman Bassett,D'arcy Delorey,Aaron Bartling,,
100205,Beaufort,"Aurele-Racine, QC",Patrick Doyon,Alexandre Comeau,Maxime H Benoit,Mathieu Beaufort,,
100057,Becker,"Naseby, NZL",Warren Dobson,Scott Becker,Jared Palanuik,Sean Becker,James Becker,Bridget Becker
194730,Bedard,"Noranda, QC",Marc-Antoine Robert,Patrick Bedard,Nathan Beaudoin-Gendron,Adam Bedard,Wade O'Reilly,
100098,Beecroft,"Sault Ste Marie, ON",Tyler Rooley,Rob Clayton,Al Johnson,JC Beecroft,,
100402,Begin,"Noranda, QC",Jean-Marc Begin,Guillaume Begin,Gino Anctil,Bernard Begin,,
100387,Belchior,"Thunder Bay, NO",Connor Mangoff,Scott Shumka,Jordan Amadeo,Travis Belchior,,
100106,Bellavance,"Val d'Or, QC",Jean Carrier,Mike Dorval,Gerry Savoie,Andre Bellavance,,
194731,Bellavance,"Montreal, QC",Patrick Bedard,Mario Dion,Andre Bellavance,Sylvain Bellavance,,
100234,Bence,AUS,Daniel Collins,Matthew Quinn,Flynn Collins,Thomas Bence,Samuel Quinn,Anne Powell
100406,Benning,North Grenville CC,Jacob Pierunek,Cameron Wright,Owen MacTavish,Aaron Benning,Remy Pietrangelo,Brian Benning
100009,Berg,"Fargo, ND",Jordan Brown,Tucker Smith,Ryan Lagasse,Ryan Berg,,
193642,Betts,"Roseville, CA",Eric Putnam,Chris Skidmore,Nelson Hilger,David Betts,,
192706,Beuk,"Kingston, ON",Sean Harrison,David Staples,Patrick Janssen,Jonathan Beuk,,Maurice Wilson
100156,Biemans,"Ottawa, ON",Philip Burgess,Tyler Biemans,Hunter Leclair,Jonathan Biemans,,
100342,Birchard,Pembina CC,Andrew Peck,William Moore,Kelly Fordyce,Daniel Birchard,Ian Fordyce,
194174,Bjoerke,"Byddoey, NOR",Havard Lundhaug,Lasse Vinje,Herman Suther,Kjetil Bjoerke,,
100308,Bjoernstad,"Trondheim, NOR",Eirik Oey,Marcus Wolan,Johan Herfjord,Ingebrigt Bjoernstad,Martin Bruseth,
194988,Blaha,"Prague, CZE",Vojtech Svec,Tobias Votava,Jan Matejicek,Ondrej Blaha,,
192338,Blandford,"Vancouver, BC",Matthew Fenton,Cody Johnston,Sebastien Robillard,Matthew Blandford,,
100154,Boehmer,"Petersfield, MB",George Hacking,Sean Bracken,Dale Lott,Dave Boehmer,Scott Szydlik,
100385,Boisvert,QC,Ryan Woodhouse,Anthony Trudel,Marc-Antoine Biron-Paquette,Guillaume Boisvert,,
100055,Boland,"St. John's, NL",Alex Smith,Zach Young,Stephen Trickett,Adam Boland,,
192583,Bolton,"Lindsay, ON",Robert Larmer,Connor Duhaime,Jeff Gorda,John Bolton,,
192290,Bonot,"Thunder Bay, NO",Jamie Childs,Jordan Potts,Mike McCarville,Trevor Bonot,,
195365,Borkovic,"Edmonton, AB",Anthony Ogg,Matt Hannah,Beau Cornelson,Sean Borkovic,,
100205,Bornais,"Quebec, QC",David Jutras,Samuel Roberge,Samuel Bornais-Doucet,Normand Bornais,Francois Bornais-Doucet,
100442,Boutet,Heather CC,Quinn Lagace,Bryce Buchel,Luc Cormier,Evan Boutet,Nick Senff,Richard Hawkins
100009,Brand,"Baden, SUI",Gian Loritz,Malcolm Lou Bonzon,Simon Rauchenstein,Nicola Brand,,Charly Suter
100358,Brewster,Curl Aberdeen,Jonathan Blair,Tom Cormack,Callum Grant,Ethan Brewster,,Kaleb Johnston
195358,Bromm,"Edmonton, AB",Haydn Couprie,Hugo Chow,Bradley McCagherty,Jabin Bromm,,
194803,Brown,"North Bay, NO",Brad Griffith,Gavan Jamieson,Chris Bowman,Jeff Brown,Bobby Ray,
100353,Brownson,Quinte CC,Will Vander Meulen,Cody Harder,Mike Collyer,Les Brownson,,
